"Date","Price","Open","High","Low","Vol.","Change %"
"04/14/2020","25,768.8","25,577.1","25,793.2","25,551.3","110.49K","0.78%"
"04/13/2020","25,569.0","25,643.0","25,720.4","25,523.2","62.29K","-0.21%"
"04/10/2020","25,623.8","25,673.5","25,724.9","25,610.2","62.14K","-0.16%"
"04/09/2020","25,665.3","25,584.5","25,726.3","25,483.2","116.46K","0.39%"
"04/08/2020","25,565.9","25,544.8","25,662.3","25,476.4","128.12K","0.12%"
"04/07/2020","25,534.7","25,309.6","25,625.8","25,287.3","140.13K","0.95%"
"04/06/2020","25,294.1","25,482.0","25,512.7","25,249.8","115.26K","-0.62%"
"04/03/2020","25,452.8","25,619.4","25,637.2","25,341.9","114.72K","-0.61%"
"04/02/2020","25,609.3","25,869.6","25,882.5","25,531.0","131.83K","-0.97%"
"04/01/2020","25,859.4","26,051.9","26,073.2","25,724.4","127.81K","-0.72%"
"03/31/2020","26,046.1","26,116.7","26,138.0","25,803.9","132.10K","-0.27%"
"03/30/2020","26,117.5","26,307.2","26,327.3","26,029.2","120.28K","-0.74%"
"03/27/2020","26,312.7","26,069.4","26,333.2","25,873.7","137.12K","1.02%"
"03/26/2020","26,048.1","25,684.6","26,139.1","25,657.5","135.73K","1.45%"
"03/25/2020","25,676.8","25,448.6","25,716.5","25,381.3","141.90K","0.95%"
"03/24/2020","25,435.8","25,253.2","25,684.4","25,244.9","140.58K","0.79%"
"03/23/2020","25,237.2","25,092.8","25,495.7","24,953.2","142.15K","0.62%"
"03/20/2020","25,082.8","25,021.4","25,411.9","24,918.2","157.43K","0.47%"
"03/19/2020","24,965.4","25,413.4","25,597.6","24,933.7","154.14K","-1.74%"
"03/18/2020","25,407.7","25,555.9","25,717.2","25,149.1","142.45K","-0.57%"
"03/17/2020","25,552.5","25,972.5","26,009.1","25,457.2","135.67K","-1.60%"
"03/16/2020","25,967.9","25,729.4","26,100.2","25,637.7","140.35K","0.76%"
"03/13/2020","25,772.5","25,945.3","26,055.8","25,657.4","150.54K","-0.64%"
"03/12/2020","25,939.0","26,114.2","26,264.8","25,643.7","141.47K","-0.65%"
"03/11/2020","26,107.9","26,142.6","26,342.5","26,086.4","136.12K","-0.11%"
"03/10/2020","26,137.9","26,524.4","26,554.5","26,128.7","130.06K","-1.46%"
"03/09/2020","26,525.0","26,205.9","26,659.8","26,187.3","140.71K","1.29%"
"03/06/2020","26,186.8","26,092.0","26,354.4","26,024.7","120.60K","0.40%"
"03/05/2020","26,083.4","25,843.3","26,103.6","25,818.3","96.02K","0.95%"
"03/04/2020","25,837.6","25,940.3","25,973.9","25,747.0","99.26K","-0.38%"
